interactionenddate,PVV,METH,NRI,ICT,INT,DPPL,CPL,TYPE,GFP,SEV
3/1/2011,4,Network Intrusion,56,0.24,58,1,0,Information Technology Sector,2,4
3/11/2011,4,Key Logger,56,0.24,58,1,0,Communications Sector,2,4
9/17/2015,10,Virus,7,32.55,74.55420245,1,1,Government Facilities Sector,1,4
8/12/2008,10,Virus,3,37.32,74,1,1,Information Technology Sector,1,3
10/15/2008,10,Network Intrusion,3,37.32,74,1,1,Defense Industrial Base Sector,1,4
11/28/2008,4,Virus,74,0.17,32,1,0,Government Facilities Sector,2,4
10/14/2014,10,Network Intrusion,7,32.33,73,1,1,Chemical Sector,1,4
8/24/2009,10,Virus,5,38.56,71,1,1,Energy Sector,1,1
7/1/2014,10,Network Intrusion,7,32.33,73,1,1,Energy Sector,1,3
12/15/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,Information Technology Sector,1,3
10/22/2014,10,Network Intrusion,7,32.33,73,1,1,Government Facilities Sector,1,4
3/26/2014,10,Denial of Service,7,32.33,73,1,1,Government Facilities Sector,1,2
2/1/2015,10,Network Intrusion,7,32.55,74.55420245,1,1,Defense Industrial Base Sector,1,4
12/1/2014,10,Network Intrusion,7,32.33,73,1,1,Communications Sector,1,4
7/8/2014,10,Network Intrusion,7,32.33,73,1,1,Financial Services Sector,1,3
10/28/2014,10,Network Intrusion,7,32.33,73,1,1,Government Facilities Sector,1,3
11/17/2014,10,Network Intrusion,7,32.33,73,1,1,Government Facilities Sector,1,3
9/22/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,Information Technology Sector,1,3
3/15/2015,8,Network Intrusion,7,31.96,85.54442129,1,1,Government Facilities Sector,1,3
11/8/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,Government Facilities Sector,1,4
6/28/2015,10,Network Intrusion,7,32.55,74.55420245,1,1,Government Facilities Sector,1,3
8/9/2016,4,Network Intrusion,41,0.6,73.09143462,1,0,Communications Sector,2,3
8/9/2016,4,Network Intrusion,41,0.6,73.09143462,1,0,Government Facilities Sector,2,3
11/8/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,Government Facilities Sector,1,4
5/1/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,Government Facilities Sector,1,3
11/10/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,"Other (Election Infrastructure, Academia)",1,2
11/10/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,"Other (Election Infrastructure, Academia)",1,2
3/15/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,Government Facilities Sector,1,2
7/1/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,Energy Sector,1,5
7/1/2018,8,Worm,8,32.13,88.49890317,1,1,Transportation Systems Sector,1,4
7/1/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,Government Facilities Sector,1,1
8/22/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,Government Facilities Sector,1,2
8/22/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,"Other (Election Infrastructure, Academia)",1,2
12/1/2018,4,Logic bomb,48,0.47,80.86472187,1,0,Government Facilities Sector,2,4
11/16/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,"Other (Election Infrastructure, Academia)",1,4
12/1/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,Government Facilities Sector,1,2
6/1/2010,-7,Worm,134,32.13,88.49890317,1,0,"Nuclear Reactors, Materials, and Waste Sector",18,3
12/1/2011,-7,Network Intrusion,104,32.13,88.49890317,1,0,"Other (Election Infrastructure, Academia)",12,4
10/1/2010,-7,Worm,134,32.13,88.49890317,1,0,"Nuclear Reactors, Materials, and Waste Sector",18,6
12/2/2012,-7,Virus,104,32.13,88.49890317,1,0,Government Facilities Sector,16,3
12/18/2009,10,Vandalism,5,38.56,71,1,1,"Other (Election Infrastructure, Academia)",1,2
3/14/2010,-7,Network Intrusion,134,38.56,71,1,0,Government Facilities Sector,18,3
3/27/2011,10,Network Intrusion,8,36.45,69.72946076,1,1,Information Technology Sector,1,1
5/26/2013,10,Network Intrusion,9,33.51,71.4,1,1,Commercial Facilities Sector,1,2
12/1/2011,-7,Network Intrusion,104,33.51,71.4,1,0,"Nuclear Reactors, Materials, and Waste Sector",12,3
1/2/2013,10,Denial of Service,9,33.51,71.4,1,1,Financial Services Sector,1,2
12/1/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,"Other (Election Infrastructure, Academia)",1,4
9/18/2013,10,Network Intrusion,9,33.51,71.4,1,1,Dams Sector,1,3
9/25/2013,10,Network Intrusion,9,33.51,71.4,1,1,Government Facilities Sector,1,1
3/15/2014,10,Network Intrusion,7,32.33,73,1,1,Defense Industrial Base Sector,1,1
3/25/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,"Other (Election Infrastructure, Academia)",1,3
2/12/2014,10,Logic bomb,7,32.33,73,1,1,Commercial Facilities Sector,1,2
4/30/2016,8,Network Intrusion,5,31.96,85.54442129,1,1,Information Technology Sector,1,3
8/9/2016,-7,Network Intrusion,92,31.96,85.54442129,1,0,Government Facilities Sector,21,3
11/24/2015,10,Network Intrusion,7,32.55,74.55420245,1,1,Government Facilities Sector,1,2
2/15/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,Information Technology Sector,1,3
2/15/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,Government Facilities Sector,1,3
9/20/2017,8,Network Intrusion,5,32.75,87.27488917,1,1,Defense Industrial Base Sector,1,3
8/24/2018,8,Key Logger,8,32.13,88.49890317,1,1,"Other (Election Infrastructure, Academia)",1,3
12/1/2018,8,Network Intrusion,8,32.13,88.49890317,1,1,"Nuclear Reactors, Materials, and Waste Sector",1,3
7/9/2011,10,Vandalism,8,36.45,69.72946076,1,1,Government Facilities Sector,1,2
4/1/2006,10,Network Intrusion,7,42.98,68.93119327,1,1,Defense Industrial Base Sector,1,4
5/6/2010,-7,Key Logger,37,58.4,34.3,0,0,Information Technology Sector,2,5
7/7/2006,10,Network Intrusion,7,42.98,68.93119327,1,1,Government Facilities Sector,1,2
1/1/2010,10,Network Intrusion,5,38.07,71.69,1,1,Government Facilities Sector,1,4
8/1/2006,10,Network Intrusion,7,42.98,68.93119327,1,1,Government Facilities Sector,1,2
10/7/2006,10,Logic bomb,7,42.98,68.93119327,1,1,Government Facilities Sector,1,2
12/7/2006,10,Logic bomb,7,42.98,68.93119327,1,1,"Other (Election Infrastructure, Academia)",1,2
9/23/2010,10,Denial of Service,5,38.07,71.69,1,1,Commercial Facilities Sector,1,2
8/1/2009,10,Network Intrusion,5,38.56,71,1,1,Government Facilities Sector,1,4
12/5/2007,10,Virus,4,38.82,75,1,1,Government Facilities Sector,1,3
8/4/2008,10,Network Intrusion,3,37.32,74,1,1,Government Facilities Sector,1,1
10/27/2014,10,Network Intrusion,7,32.33,73,1,1,Information Technology Sector,1,4
6/30/2011,10,Network Intrusion,8,36.45,69.72946076,1,1,Energy Sector,1,4
2/10/2009,10,Network Intrusion,5,38.56,71,1,1,Transportation Systems Sector,1,3
3/1/2009,10,Network Intrusion,5,38.56,71,1,1,Government Facilities Sector,1,2
4/1/2009,10,Network Intrusion,5,38.56,71,1,1,Defense Industrial Base Sector,1,3
1/1/2010,10,Network Intrusion,5,38.07,71.69,1,1,Information Technology Sector,1,3
2/11/2011,10,Virus,8,36.45,69.72946076,1,1,Energy Sector,1,4
11/5/2009,10,Key Logger,5,38.56,71,1,1,Government Facilities Sector,1,3
2/1/2010,10,Key Logger,5,38.07,71.69,1,1,"Other (Election Infrastructure, Academia)",1,3
