interactionenddate,PVV,METH,NRI,ICT,INT,DPPL,CPL,TYPE,GFP,SEV
3/1/2011,4,3,56,0.24,58,1,0,13,2,4
3/11/2011,4,4.4,56,0.24,58,1,0,3,2,4
9/17/2015,10,4.2,7,32.55,74.55420245,1,1,11,1,4
8/12/2008,10,4.2,3,37.32,74,1,1,13,1,3
10/15/2008,10,3,3,37.32,74,1,1,6,1,4
11/28/2008,4,4.2,74,0.17,32,1,0,11,2,4
10/14/2014,10,3,7,32.33,73,1,1,1,1,4
8/24/2009,10,4.2,5,38.56,71,1,1,8,1,1
7/1/2014,10,3,7,32.33,73,1,1,8,1,3
12/15/2016,8,3,5,31.96,85.54442129,1,1,13,1,3
10/22/2014,10,3,7,32.33,73,1,1,11,1,4
3/26/2014,10,2,7,32.33,73,1,1,11,1,2
2/1/2015,10,3,7,32.55,74.55420245,1,1,6,1,4
12/1/2014,10,3,7,32.33,73,1,1,3,1,4
7/8/2014,10,3,7,32.33,73,1,1,9,1,3
10/28/2014,10,3,7,32.33,73,1,1,11,1,3
11/17/2014,10,3,7,32.33,73,1,1,11,1,3
9/22/2016,8,3,5,31.96,85.54442129,1,1,13,1,3
3/15/2015,8,3,7,31.96,85.54442129,1,1,11,1,3
11/8/2016,8,3,5,31.96,85.54442129,1,1,11,1,4
6/28/2015,10,3,7,32.55,74.55420245,1,1,11,1,3
8/9/2016,4,3,41,0.6,73.09143462,1,0,3,2,3
8/9/2016,4,3,41,0.6,73.09143462,1,0,11,2,3
11/8/2016,8,3,5,31.96,85.54442129,1,1,11,1,4
5/1/2018,8,3,8,32.13,88.49890317,1,1,11,1,3
11/10/2016,8,3,5,31.96,85.54442129,1,1,17,1,2
11/10/2016,8,3,5,31.96,85.54442129,1,1,17,1,2
3/15/2017,8,3,5,32.75,87.27488917,1,1,11,1,2
7/1/2017,8,3,5,32.75,87.27488917,1,1,8,1,5
7/1/2018,8,4.3,8,32.13,88.49890317,1,1,15,1,4
7/1/2018,8,3,8,32.13,88.49890317,1,1,11,1,1
8/22/2018,8,3,8,32.13,88.49890317,1,1,11,1,2
8/22/2018,8,3,8,32.13,88.49890317,1,1,17,1,2
12/1/2018,4,4.1,48,0.47,80.86472187,1,0,11,2,4
11/16/2018,8,3,8,32.13,88.49890317,1,1,17,1,4
12/1/2018,8,3,8,32.13,88.49890317,1,1,11,1,2
6/1/2010,-7,4.3,134,32.13,88.49890317,1,0,14,18,3
12/1/2011,-7,3,104,32.13,88.49890317,1,0,17,12,4
10/1/2010,-7,4.3,134,32.13,88.49890317,1,0,14,18,6
12/2/2012,-7,4.2,104,32.13,88.49890317,1,0,11,16,3
12/18/2009,10,1,5,38.56,71,1,1,17,1,2
3/14/2010,-7,3,134,38.56,71,1,0,11,18,3
3/27/2011,10,3,8,36.45,69.72946076,1,1,13,1,1
5/26/2013,10,3,9,33.51,71.4,1,1,2,1,2
12/1/2011,-7,3,104,33.51,71.4,1,0,14,12,3
1/2/2013,10,2,9,33.51,71.4,1,1,9,1,2
12/1/2017,8,3,5,32.75,87.27488917,1,1,17,1,4
9/18/2013,10,3,9,33.51,71.4,1,1,5,1,3
9/25/2013,10,3,9,33.51,71.4,1,1,11,1,1
3/15/2014,10,3,7,32.33,73,1,1,6,1,1
3/25/2018,8,3,8,32.13,88.49890317,1,1,17,1,3
2/12/2014,10,4.1,7,32.33,73,1,1,2,1,2
4/30/2016,8,3,5,31.96,85.54442129,1,1,13,1,3
8/9/2016,-7,3,92,31.96,85.54442129,1,0,11,21,3
11/24/2015,10,3,7,32.55,74.55420245,1,1,11,1,2
2/15/2017,8,3,5,32.75,87.27488917,1,1,13,1,3
